year	month	day	hour	minute	second	U(m/s)	V(m/s)
2023	6	4	14	10	0	NaN	NaN
2023	6	4	14	20	0	NaN	NaN
2023	6	4	14	30	0	NaN	NaN
2023	6	4	14	40	0	NaN	NaN
2023	6	4	14	50	0	NaN	NaN
2023	6	4	15	0	0	-5.372434995	4.530134618
2023	6	4	15	10	0	NaN	NaN
2023	6	4	15	20	0	NaN	NaN
2023	6	4	15	30	0	NaN	NaN
2023	6	4	15	40	0	NaN	NaN
2023	6	4	15	50	0	NaN	NaN
2023	6	4	16	0	0	-5.257232789	5.337789295
2023	6	4	16	10	0	NaN	NaN
2023	6	4	16	20	0	NaN	NaN
2023	6	4	16	30	0	NaN	NaN
2023	6	4	16	40	0	NaN	NaN
2023	6	4	16	50	0	NaN	NaN
2023	6	4	17	0	0	-4.500447536	6.144990487
2023	6	4	17	10	0	NaN	NaN
2023	6	4	17	20	0	NaN	NaN
2023	6	4	17	30	0	NaN	NaN
2023	6	4	17	40	0	NaN	NaN
2023	6	4	17	50	0	NaN	NaN
2023	6	4	18	0	0	-3.613420624	7.22564242
2023	6	4	18	10	0	NaN	NaN
2023	6	4	18	20	0	NaN	NaN
2023	6	4	18	30	0	NaN	NaN
2023	6	4	18	40	0	NaN	NaN
2023	6	4	18	50	0	NaN	NaN
2023	6	4	19	0	0	-3.039515115	7.521767352
2023	6	4	19	10	0	NaN	NaN
2023	6	4	19	20	0	NaN	NaN
2023	6	4	19	30	0	NaN	NaN
2023	6	4	19	40	0	NaN	NaN
2023	6	4	19	50	0	NaN	NaN
2023	6	4	20	0	0	-2.66382959	7.750776679
2023	6	4	20	10	0	NaN	NaN
2023	6	4	20	20	0	NaN	NaN
2023	6	4	20	30	0	NaN	NaN
2023	6	4	20	40	0	NaN	NaN
2023	6	4	20	50	0	NaN	NaN
2023	6	4	21	0	0	-2.823247787	7.881833502
2023	6	4	21	10	0	NaN	NaN
2023	6	4	21	20	0	NaN	NaN
2023	6	4	21	30	0	NaN	NaN
2023	6	4	21	40	0	NaN	NaN
2023	6	4	21	50	0	NaN	NaN
2023	6	4	22	0	0	-2.594648108	7.941239882
2023	6	4	22	10	0	NaN	NaN
2023	6	4	22	20	0	NaN	NaN
2023	6	4	22	30	0	NaN	NaN
2023	6	4	22	40	0	NaN	NaN
2023	6	4	22	50	0	NaN	NaN
2023	6	4	23	0	0	-2.340782149	8.091796509
2023	6	4	23	10	0	NaN	NaN
2023	6	4	23	20	0	NaN	NaN
2023	6	4	23	30	0	NaN	NaN
2023	6	4	23	40	0	NaN	NaN
2023	6	4	23	50	0	NaN	NaN
2023	6	5	0	0	0	-2.50230587	7.528116125
2023	6	5	0	10	0	NaN	NaN
2023	6	5	0	20	0	NaN	NaN
2023	6	5	0	30	0	NaN	NaN
2023	6	5	0	40	0	NaN	NaN
2023	6	5	0	50	0	NaN	NaN
2023	6	5	1	0	0	-2.612394662	7.099120436
2023	6	5	1	10	0	NaN	NaN
2023	6	5	1	20	0	NaN	NaN
2023	6	5	1	30	0	NaN	NaN
2023	6	5	1	40	0	NaN	NaN
2023	6	5	1	50	0	NaN	NaN
